Method,Max Depth,Accuracy Rate,Error Rate
Entropy,1,88.08,11.920000000000002
Entropy,2,89.4,10.599999999999994
Entropy,3,89.94,10.060000000000002
Entropy,4,92.08,7.920000000000002
Entropy,5,93.88,6.1200000000000045
Entropy,6,95.28,4.719999999999999
Entropy,7,96.52,3.480000000000004
Entropy,8,97.14,2.8599999999999994
Entropy,9,97.7,2.299999999999997
Entropy,10,98.3,1.7000000000000028
Entropy,11,98.56,1.4399999999999977
Entropy,12,98.64,1.3599999999999994
Entropy,13,98.64,1.3599999999999994
Entropy,14,98.64,1.3599999999999994
Entropy,15,98.64,1.3599999999999994
Entropy,16,98.64,1.3599999999999994
Majority Error,1,89.12,10.879999999999995
Majority Error,2,89.58,10.420000000000002
Majority Error,3,90.4,9.599999999999994
Majority Error,4,91.74,8.260000000000005
Majority Error,5,92.98,7.019999999999996
Majority Error,6,93.46,6.540000000000006
Majority Error,7,93.84,6.159999999999997
Majority Error,8,94.26,5.739999999999995
Majority Error,9,95.12,4.8799999999999955
Majority Error,10,95.64,4.359999999999999
Majority Error,11,96.24,3.760000000000005
Majority Error,12,96.98,3.019999999999996
Majority Error,13,97.36,2.6400000000000006
Majority Error,14,97.94,2.0600000000000023
Majority Error,15,98.44,1.5600000000000023
Majority Error,16,98.64,1.3599999999999994
Gini Index,1,89.12,10.879999999999995
Gini Index,2,89.58,10.420000000000002
Gini Index,3,90.66,9.340000000000003
Gini Index,4,92.52,7.480000000000004
Gini Index,5,94.04,5.959999999999994
Gini Index,6,95.32,4.680000000000007
Gini Index,7,96.54,3.4599999999999937
Gini Index,8,97.34,2.6599999999999966
Gini Index,9,97.88,2.1200000000000045
Gini Index,10,98.3,1.7000000000000028
Gini Index,11,98.54,1.4599999999999937
Gini Index,12,98.62,1.3799999999999955
Gini Index,13,98.64,1.3599999999999994
Gini Index,14,98.64,1.3599999999999994
Gini Index,15,98.64,1.3599999999999994
Gini Index,16,98.64,1.3599999999999994
