Method,Max Depth,Accuracy Rate,Error Rate
Entropy,1,88.08,11.92
Entropy,2,89.40,10.60
Entropy,3,89.92,10.08
Entropy,4,91.94,8.06
Entropy,5,93.66,6.34
Entropy,6,95.00,5.00
Entropy,7,96.20,3.80
Entropy,8,96.70,3.30
Entropy,9,97.26,2.74
Entropy,10,97.72,2.28
Entropy,11,98.12,1.88
Entropy,12,98.16,1.84
Entropy,13,98.18,1.82
Entropy,14,98.18,1.82
Entropy,15,98.18,1.82
Entropy,16,98.18,1.82
Majority Error,1,89.12,10.88
Majority Error,2,89.58,10.42
Majority Error,3,90.40,9.60
Majority Error,4,91.82,8.18
Majority Error,5,92.78,7.22
Majority Error,6,93.16,6.84
Majority Error,7,93.40,6.60
Majority Error,8,93.78,6.22
Majority Error,9,94.40,5.60
Majority Error,10,95.04,4.96
Majority Error,11,95.50,4.50
Majority Error,12,96.10,3.90
Majority Error,13,96.70,3.30
Majority Error,14,97.44,2.56
Majority Error,15,97.98,2.02
Majority Error,16,98.18,1.82
Gini Index,1,89.12,10.88
Gini Index,2,89.58,10.42
Gini Index,3,90.66,9.34
Gini Index,4,92.34,7.66
Gini Index,5,93.74,6.26
Gini Index,6,94.96,5.04
Gini Index,7,96.22,3.78
Gini Index,8,96.88,3.12
Gini Index,9,97.44,2.56
Gini Index,10,97.80,2.20
Gini Index,11,98.12,1.88
Gini Index,12,98.18,1.82
Gini Index,13,98.18,1.82
Gini Index,14,98.18,1.82
Gini Index,15,98.18,1.82
Gini Index,16,98.18,1.82
