,Iteration,AdaBoost Test Accuracy,AdaBoost Train Accuracy,Stump Test Accuracy,Stump Train Accuracy
0,1,0.8752,0.8808,87.52,88.08
1,2,0.8752,0.8808,59.42,58.9
2,3,0.8752,0.8808,79.7,80.3
3,4,0.8752,0.8808,88.34,89.12
4,5,0.8826,0.8876,12.48,11.92
5,6,0.8826,0.8876,80.88,81.6
6,7,0.8806,0.8834,59.28,58.08
7,8,0.881,0.885,19.94,19.44
8,9,0.8816,0.8844,78.0,78.54
9,10,0.8838,0.8872,22.52,22.4
10,11,0.888,0.8902,55.7,57.36
11,12,0.888,0.8902,88.34,89.12
12,13,0.8908,0.8928,59.42,58.9
13,14,0.89,0.8926,43.24,42.88
14,15,0.8904,0.8926,87.52,88.08
15,16,0.8914,0.8938,26.16,26.28
16,17,0.8924,0.894,78.2,78.4
17,18,0.8916,0.8946,59.58,59.64
18,19,0.8926,0.8956,22.82,22.5
19,20,0.892,0.895,38.56,38.02
20,21,0.893,0.896,88.34,89.12
21,22,0.8932,0.896,26.4,26.04
22,23,0.8924,0.8964,40.66,40.62
23,24,0.8928,0.896,64.1,65.38
24,25,0.8922,0.8952,31.28,30.68
25,26,0.891,0.8962,40.78,39.9
26,27,0.8934,0.8962,53.06,52.32
27,28,0.8918,0.8954,82.84,83.22
28,29,0.8934,0.8962,26.16,26.28
29,30,0.8932,0.8954,76.86,77.1
30,31,0.8932,0.895,40.72,41.92
31,32,0.8932,0.8958,38.56,38.02
32,33,0.8932,0.895,88.34,89.12
33,34,0.893,0.8954,23.8,23.4
34,35,0.893,0.894,63.12,63.96
35,36,0.8924,0.8944,48.42,50.96
36,37,0.8934,0.8942,22.82,22.5
37,38,0.8928,0.8956,64.02,63.0
38,39,0.8934,0.8952,26.16,26.28
39,40,0.8932,0.8952,72.72,72.0
40,41,0.8924,0.896,59.12,58.86
41,42,0.8926,0.896,64.1,65.38
42,43,0.8924,0.8958,33.06,32.28
43,44,0.8922,0.8954,88.34,89.12
44,45,0.8926,0.8962,40.78,39.9
45,46,0.8928,0.8962,38.02,39.26
46,47,0.8932,0.896,38.56,38.02
47,48,0.893,0.8962,87.52,88.08
48,49,0.8934,0.8964,59.42,58.9
49,50,0.8936,0.8964,78.36,78.14
50,51,0.894,0.8962,13.84,13.62
51,52,0.8936,0.8964,47.1,45.84
52,53,0.8934,0.896,87.52,88.08
53,54,0.8936,0.8964,13.84,13.62
54,55,0.894,0.8956,27.52,27.42
55,56,0.8938,0.8956,50.14,49.68
56,57,0.8934,0.896,87.52,88.08
57,58,0.8936,0.8956,26.16,26.28
58,59,0.8936,0.8962,88.34,89.12
59,60,0.8938,0.896,27.48,28.22
60,61,0.8932,0.8962,58.04,57.54
61,62,0.8934,0.8962,13.84,13.62
62,63,0.8928,0.896,40.72,41.92
63,64,0.8928,0.8964,22.82,22.5
64,65,0.8924,0.8966,82.84,83.22
65,66,0.8928,0.896,40.9,41.68
66,67,0.8928,0.8962,87.52,88.08
67,68,0.893,0.896,13.84,13.62
68,69,0.8928,0.8962,87.52,88.08
69,70,0.893,0.896,13.84,13.62
70,71,0.893,0.8966,46.1,44.78
71,72,0.893,0.8962,64.1,65.38
72,73,0.8926,0.8962,76.78,77.48
73,74,0.893,0.8962,30.46,29.7
74,75,0.893,0.8962,87.52,88.08
75,76,0.893,0.8962,13.84,13.62
76,77,0.893,0.8962,87.52,88.08
77,78,0.893,0.8962,13.84,13.62
78,79,0.8928,0.8966,74.44,74.16
79,80,0.893,0.8964,13.84,13.62
80,81,0.8928,0.8964,36.42,37.0
81,82,0.8924,0.8968,45.02,44.92
82,83,0.8928,0.8966,38.56,38.02
83,84,0.8926,0.8968,88.34,89.12
84,85,0.892,0.8968,45.54,46.16
85,86,0.8926,0.8968,13.84,13.62
86,87,0.8926,0.8966,31.86,31.34
87,88,0.8918,0.8968,84.1,84.52
88,89,0.8926,0.8968,24.56,24.82
89,90,0.8916,0.8968,87.52,88.08
90,91,0.8922,0.8968,13.84,13.62
91,92,0.8922,0.8966,26.16,26.28
92,93,0.892,0.8968,88.34,89.12
93,94,0.8922,0.8968,37.02,38.6
94,95,0.8924,0.8968,22.0,21.46
95,96,0.892,0.8968,87.52,88.08
96,97,0.892,0.8968,13.84,13.62
97,98,0.8926,0.8968,38.56,38.02
98,99,0.892,0.8968,87.52,88.08
99,100,0.8922,0.8968,27.4,26.7
100,101,0.892,0.8968,52.54,53.2
101,102,0.892,0.8968,13.84,13.62
102,103,0.8922,0.8968,61.42,61.4
103,104,0.8924,0.8968,87.52,88.08
104,105,0.8922,0.8968,13.84,13.62
105,106,0.8922,0.8968,48.32,49.2
106,107,0.892,0.8968,87.52,88.08
107,108,0.8922,0.8968,13.84,13.62
108,109,0.892,0.8968,67.56,66.6
109,110,0.892,0.8968,13.84,13.62
110,111,0.8924,0.8968,22.82,22.5
111,112,0.8918,0.8968,82.84,83.22
112,113,0.8918,0.8968,34.42,35.62
113,114,0.8916,0.8968,64.78,64.54
114,115,0.8914,0.8968,36.66,35.92
115,116,0.8914,0.8968,13.84,13.62
116,117,0.892,0.8968,26.16,26.28
117,118,0.8914,0.8968,87.52,88.08
118,119,0.8918,0.8968,35.74,36.28
119,120,0.8924,0.8968,59.42,58.9
120,121,0.892,0.8968,87.52,88.08
121,122,0.8922,0.8968,13.84,13.62
122,123,0.8924,0.8968,70.66,70.42
123,124,0.8924,0.8968,13.84,13.62
124,125,0.8924,0.8968,64.46,64.34
125,126,0.8928,0.8968,43.24,42.88
126,127,0.8924,0.8968,88.34,89.12
127,128,0.8928,0.8968,22.0,21.46
128,129,0.8926,0.8968,87.52,88.08
129,130,0.8928,0.8968,13.84,13.62
130,131,0.8928,0.8968,53.06,52.32
131,132,0.8926,0.8968,77.02,77.14
132,133,0.8928,0.8968,30.16,30.64
133,134,0.8928,0.8968,59.22,60.2
134,135,0.8928,0.8968,24.56,24.82
135,136,0.8926,0.8968,87.52,88.08
136,137,0.8928,0.8968,15.36,14.98
137,138,0.8926,0.8968,66.24,66.34
138,139,0.8922,0.8968,78.96,79.06
139,140,0.8924,0.8968,45.02,44.12
140,141,0.8922,0.8968,13.84,13.62
141,142,0.8924,0.8968,40.72,41.92
142,143,0.8926,0.8968,38.56,38.02
143,144,0.8924,0.8968,78.44,78.32
144,145,0.8926,0.8966,33.96,34.28
145,146,0.8926,0.8966,22.82,22.5
146,147,0.8926,0.8966,87.52,88.08
147,148,0.8926,0.8966,26.16,26.28
148,149,0.8928,0.8966,82.14,82.44
149,150,0.8926,0.8966,53.9,53.26
150,151,0.8928,0.8966,13.84,13.62
151,152,0.8926,0.8966,64.1,65.38
152,153,0.8926,0.8966,49.96,50.02
