,Iteration,Test,Train
0,1,0.843,0.843
1,2,0.8732,0.8732
2,3,0.8586,0.8586
3,4,0.8676,0.8676
4,5,0.859,0.859
5,6,0.8648,0.8648
6,7,0.8566,0.8566
7,8,0.8656,0.8656
8,9,0.8594,0.8594
9,10,0.8634,0.8634
10,11,0.8578,0.8578
11,12,0.8614,0.8614
12,13,0.858,0.858
13,14,0.8606,0.8606
14,15,0.8584,0.8584
15,16,0.863,0.863
16,17,0.856,0.856
17,18,0.8592,0.8592
18,19,0.8552,0.8552
19,20,0.858,0.858
20,21,0.8558,0.8558
21,22,0.8602,0.8602
22,23,0.8556,0.8556
23,24,0.8596,0.8596
24,25,0.8558,0.8558
25,26,0.8604,0.8604
26,27,0.8572,0.8572
27,28,0.8602,0.8602
28,29,0.859,0.859
29,30,0.8602,0.8602
30,31,0.8576,0.8576
31,32,0.8586,0.8586
32,33,0.8578,0.8578
33,34,0.8582,0.8582
34,35,0.8564,0.8564
35,36,0.8588,0.8588
36,37,0.8578,0.8578
37,38,0.8592,0.8592
38,39,0.8586,0.8586
39,40,0.8592,0.8592
40,41,0.8592,0.8592
41,42,0.8608,0.8608
42,43,0.86,0.86
43,44,0.8604,0.8604
44,45,0.8596,0.8596
45,46,0.8602,0.8602
46,47,0.859,0.859
47,48,0.8618,0.8618
48,49,0.8592,0.8592
49,50,0.86,0.86
50,51,0.8592,0.8592
51,52,0.86,0.86
52,53,0.8594,0.8594
53,54,0.8616,0.8616
54,55,0.8606,0.8606
55,56,0.8618,0.8618
56,57,0.8604,0.8604
57,58,0.86,0.86
58,59,0.8594,0.8594
59,60,0.8592,0.8592
60,61,0.859,0.859
61,62,0.86,0.86
62,63,0.8594,0.8594
63,64,0.8602,0.8602
64,65,0.8584,0.8584
65,66,0.859,0.859
66,67,0.8568,0.8568
67,68,0.8592,0.8592
68,69,0.8566,0.8566
69,70,0.8578,0.8578
70,71,0.857,0.857
71,72,0.8578,0.8578
72,73,0.8568,0.8568
73,74,0.8588,0.8588
74,75,0.8562,0.8562
75,76,0.8582,0.8582
76,77,0.8566,0.8566
77,78,0.8576,0.8576
78,79,0.8574,0.8574
79,80,0.858,0.858
80,81,0.8574,0.8574
81,82,0.8588,0.8588
82,83,0.858,0.858
83,84,0.8596,0.8596
84,85,0.857,0.857
85,86,0.8584,0.8584
86,87,0.857,0.857
87,88,0.859,0.859
88,89,0.857,0.857
89,90,0.8582,0.8582
90,91,0.8568,0.8568
91,92,0.8574,0.8574
92,93,0.8562,0.8562
93,94,0.858,0.858
94,95,0.8566,0.8566
95,96,0.8578,0.8578
96,97,0.857,0.857
97,98,0.8578,0.8578
98,99,0.8578,0.8578
99,100,0.8584,0.8584
100,101,0.8576,0.8576
101,102,0.8584,0.8584
102,103,0.858,0.858
103,104,0.8588,0.8588
104,105,0.8582,0.8582
105,106,0.859,0.859
106,107,0.8584,0.8584
107,108,0.8598,0.8598
108,109,0.8594,0.8594
109,110,0.8598,0.8598
110,111,0.8592,0.8592
111,112,0.8602,0.8602
112,113,0.8592,0.8592
113,114,0.8596,0.8596
114,115,0.859,0.859
115,116,0.859,0.859
116,117,0.8586,0.8586
117,118,0.8592,0.8592
118,119,0.8598,0.8598
119,120,0.859,0.859
120,121,0.8598,0.8598
121,122,0.8594,0.8594
122,123,0.8596,0.8596
123,124,0.86,0.86
124,125,0.8596,0.8596
125,126,0.8602,0.8602
126,127,0.8588,0.8588
127,128,0.86,0.86
128,129,0.86,0.86
129,130,0.8602,0.8602
130,131,0.8598,0.8598
131,132,0.86,0.86
132,133,0.8598,0.8598
133,134,0.8602,0.8602
134,135,0.8598,0.8598
135,136,0.8606,0.8606
136,137,0.86,0.86
137,138,0.8604,0.8604
138,139,0.8596,0.8596
139,140,0.8596,0.8596
140,141,0.86,0.86
141,142,0.86,0.86
142,143,0.86,0.86
143,144,0.86,0.86
144,145,0.86,0.86
145,146,0.8594,0.8594
146,147,0.86,0.86
147,148,0.86,0.86
148,149,0.8604,0.8604
149,150,0.8606,0.8606
150,151,0.86,0.86
151,152,0.8602,0.8602
152,153,0.8602,0.8602
153,154,0.86,0.86
154,155,0.8604,0.8604
155,156,0.8602,0.8602
156,157,0.8594,0.8594
157,158,0.8602,0.8602
158,159,0.859,0.859
159,160,0.8594,0.8594
160,161,0.8582,0.8582
161,162,0.859,0.859
162,163,0.8588,0.8588
163,164,0.8594,0.8594
164,165,0.8592,0.8592
165,166,0.8598,0.8598
166,167,0.8588,0.8588
167,168,0.8592,0.8592
168,169,0.8592,0.8592
169,170,0.859,0.859
170,171,0.8586,0.8586
171,172,0.8592,0.8592
172,173,0.8588,0.8588
173,174,0.8586,0.8586
174,175,0.8586,0.8586
175,176,0.8588,0.8588
176,177,0.8588,0.8588
177,178,0.8584,0.8584
178,179,0.8584,0.8584
179,180,0.8592,0.8592
180,181,0.8588,0.8588
181,182,0.8592,0.8592
182,183,0.859,0.859
183,184,0.8592,0.8592
184,185,0.8588,0.8588
185,186,0.8588,0.8588
186,187,0.859,0.859
187,188,0.8592,0.8592
188,189,0.8594,0.8594
189,190,0.8596,0.8596
190,191,0.8592,0.8592
191,192,0.8594,0.8594
192,193,0.859,0.859
193,194,0.86,0.86
194,195,0.859,0.859
