,Iteration,Test,Train
0,1,0.67,0.7792083333333333
1,2,0.7403333333333333,0.8077083333333334
2,3,0.695,0.819875
3,4,0.7361666666666666,0.82475
4,5,0.7148333333333333,0.8385
5,6,0.7388333333333333,0.8327916666666667
6,7,0.7215,0.8442916666666667
7,8,0.7391666666666666,0.837
8,9,0.7198333333333333,0.8467916666666667
9,10,0.733,0.8395833333333333
10,11,0.72,0.8479166666666667
11,12,0.7305,0.843375
12,13,0.7201666666666666,0.8501666666666666
13,14,0.7303333333333333,0.8445
14,15,0.724,0.8505416666666666
15,16,0.7298333333333333,0.846625
16,17,0.7243333333333334,0.8513333333333334
17,18,0.732,0.846625
18,19,0.726,0.8522083333333333
19,20,0.731,0.8476666666666667
20,21,0.7251666666666666,0.8522916666666667
21,22,0.7308333333333333,0.8472083333333333
22,23,0.723,0.8528333333333333
23,24,0.73,0.8495416666666666
24,25,0.7236666666666667,0.85425
25,26,0.7278333333333333,0.8507083333333333
26,27,0.725,0.853375
27,28,0.7291666666666666,0.8508333333333333
28,29,0.7246666666666667,0.8534166666666667
29,30,0.728,0.8511666666666666
30,31,0.7245,0.8540416666666667
31,32,0.7285,0.851625
32,33,0.724,0.8547083333333333
33,34,0.7291666666666666,0.8525833333333334
34,35,0.7245,0.8555
35,36,0.7263333333333334,0.8535833333333334
36,37,0.7218333333333333,0.8552916666666667
37,38,0.727,0.853625
38,39,0.722,0.856125
39,40,0.7258333333333333,0.8536666666666667
40,41,0.7216666666666667,0.8555833333333334
41,42,0.7265,0.8545833333333334
42,43,0.723,0.8563333333333333
43,44,0.7273333333333334,0.8544583333333333
44,45,0.7236666666666667,0.8561666666666666
45,46,0.7256666666666667,0.85425
46,47,0.7211666666666666,0.855625
47,48,0.725,0.8552083333333333
48,49,0.7225,0.8565833333333334
49,50,0.7243333333333334,0.8554166666666667
50,51,0.7216666666666667,0.85725
51,52,0.7253333333333334,0.855875
52,53,0.7223333333333334,0.857375
53,54,0.7245,0.8561666666666666
54,55,0.7221666666666666,0.8578333333333333
55,56,0.7241666666666666,0.856375
56,57,0.7213333333333334,0.8575833333333334
57,58,0.7235,0.856625
58,59,0.7215,0.8576666666666667
59,60,0.7248333333333333,0.856625
60,61,0.7225,0.8579166666666667
61,62,0.7246666666666667,0.85675
62,63,0.7213333333333334,0.8578333333333333
63,64,0.7248333333333333,0.8564583333333333
64,65,0.7223333333333334,0.8575833333333334
65,66,0.7253333333333334,0.8561666666666666
66,67,0.7231666666666666,0.857375
67,68,0.726,0.8568333333333333
68,69,0.7226666666666667,0.857625
