,Iteration,"k = 2, Test","k = 2, Train","k = 4, Test","k = 4, Train","k = 6, Test","k = 6, Train"
0,1,0.8172,0.8386,0.8296,0.8538,0.8444,0.8666
1,2,0.8672,0.8804,0.8704,0.8878,0.879,0.8922
2,3,0.8568,0.8786,0.8564,0.8824,0.8734,0.8938
3,4,0.8716,0.8902,0.8748,0.893,0.8802,0.8974
4,5,0.8716,0.8942,0.8706,0.8958,0.88,0.9004
5,6,0.878,0.8918,0.8788,0.894,0.8862,0.8984
6,7,0.879,0.8986,0.8742,0.8986,0.881,0.8986
7,8,0.8808,0.8934,0.8796,0.8954,0.8856,0.8988
8,9,0.8812,0.8974,0.878,0.8994,0.881,0.902
9,10,0.8822,0.8938,0.879,0.895,0.885,0.9002
10,11,0.8852,0.8984,0.8758,0.9014,0.8826,0.9034
11,12,0.883,0.8948,0.8788,0.8958,0.8852,0.9012
12,13,0.8852,0.9018,0.8766,0.9026,0.8848,0.9052
13,14,0.8842,0.898,0.881,0.8986,0.8872,0.901
14,15,0.8852,0.9024,0.8824,0.9022,0.8864,0.9038
15,16,0.8838,0.8994,0.8828,0.8988,0.8876,0.9008
16,17,0.8854,0.9016,0.8832,0.902,0.886,0.9026
17,18,0.8844,0.8986,0.8834,0.8976,0.8856,0.9006
18,19,0.8854,0.9018,0.8832,0.9012,0.8866,0.9026
19,20,0.8822,0.8972,0.8826,0.8968,0.887,0.9
20,21,0.885,0.9006,0.883,0.9018,0.8878,0.901
21,22,0.883,0.8984,0.8834,0.8968,0.887,0.899
22,23,0.8838,0.9004,0.8838,0.9,0.887,0.9022
23,24,0.884,0.8976,0.8824,0.897,0.8866,0.9004
24,25,0.8848,0.9012,0.8838,0.9008,0.8876,0.902
25,26,0.8844,0.899,0.8836,0.8988,0.8864,0.9
26,27,0.8848,0.9012,0.8854,0.901,0.8864,0.9046
27,28,0.8846,0.8986,0.8846,0.8988,0.8854,0.9012
28,29,0.885,0.9,0.885,0.8998,0.887,0.9044
29,30,0.8838,0.8984,0.8836,0.8966,0.8864,0.9024
30,31,0.885,0.9006,0.887,0.8992,0.8864,0.9036
