LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT_IND
20000,2,2,1,L,2,2,-1,-1,-2,-2,L,L,L,L,L,L,L,L,L,L,L,L,1
120000,2,2,2,L,-1,2,0,0,0,2,L,L,L,L,L,L,L,L,L,L,L,G,1
90000,2,2,2,L,0,0,0,0,0,0,G,L,L,L,L,L,L,L,L,L,L,G,0
50000,2,2,1,G,0,0,0,0,0,0,G,G,G,G,G,G,L,G,L,L,L,L,0
50000,1,2,1,G,-1,0,-1,0,0,0,L,L,G,G,G,G,L,G,G,G,L,L,0
50000,1,1,2,G,0,0,0,0,0,0,G,G,G,G,G,G,G,L,L,L,L,L,0
500000,1,1,2,L,0,0,0,0,0,0,G,G,G,G,G,G,G,G,G,G,G,G,0
100000,2,2,2,L,0,-1,-1,0,0,-1,L,L,L,L,L,L,L,L,L,L,G,G,0
140000,2,3,1,L,0,0,2,0,0,0,L,L,L,L,L,L,G,L,L,L,L,L,0
20000,1,3,2,G,-2,-2,-2,-2,-1,-1,L,L,L,L,L,L,L,L,L,G,L,L,0
200000,2,3,2,L,0,0,2,0,0,-1,L,L,L,L,L,L,G,L,L,L,G,L,0
260000,2,1,2,G,-1,-1,-1,-1,-1,2,L,G,L,L,G,L,G,G,G,G,L,G,0
630000,2,2,2,G,-1,0,-1,-1,-1,-1,L,L,L,L,L,L,L,G,G,G,G,L,0
70000,1,2,2,L,1,2,2,0,0,2,G,G,G,G,G,G,G,L,G,G,L,L,1
250000,1,1,2,L,0,0,0,0,0,0,G,G,G,G,G,G,G,G,G,G,G,G,0
50000,2,3,3,L,1,2,0,0,0,0,G,G,G,G,G,G,L,L,L,L,L,L,0
20000,1,1,2,L,0,0,2,2,2,2,L,L,L,L,L,G,G,L,L,L,G,L,1
320000,1,1,1,G,0,0,0,-1,-1,-1,G,G,G,G,L,G,G,G,G,G,G,G,0
360000,2,1,1,G,1,-2,-2,-2,-2,-2,L,L,L,L,L,L,L,L,L,L,L,L,0
180000,2,1,2,L,1,-2,-2,-2,-2,-2,L,L,L,L,L,L,L,L,L,L,L,L,0
130000,2,3,2,G,0,0,0,0,0,-1,G,G,G,G,L,L,G,L,L,G,L,G,0
70000,2,2,2,L,2,0,0,2,2,2,G,G,G,G,G,G,L,G,L,G,L,G,1
90000,1,1,2,L,0,0,0,-1,0,0,L,L,L,L,L,L,G,L,G,L,G,G,0
